

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
1293.096  000.036  000.036: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/FiletypeScope.vim
1294.133  000.028  000.028: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/classes/FilterValue.vim
1295.145  000.015  000.015: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.util.vim
1296.119  000.018  000.018: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.vim
1296.674  005.673  005.549: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.parser.vim
1296.741  000.015  000.015: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.util.vim
1296.812  000.017  000.017: sourcing /Users/israel/.vim/symlinks/xptemplate/plugin/xptemplate.vim
1297.585  000.127  000.127: sourcing /opt/local/share/vim/vim74/plugin/getscriptPlugin.vim
1297.989  000.357  000.357: sourcing /opt/local/share/vim/vim74/plugin/gzip.vim
1298.340  000.303  000.303: sourcing /opt/local/share/vim/vim74/plugin/matchparen.vim
1299.102  000.713  000.713: sourcing /opt/local/share/vim/vim74/plugin/netrwPlugin.vim
1299.224  000.056  000.056: sourcing /opt/local/share/vim/vim74/plugin/rrhelper.vim
1299.352  000.072  000.072: sourcing /opt/local/share/vim/vim74/plugin/spellfile.vim
1299.657  000.250  000.250: sourcing /opt/local/share/vim/vim74/plugin/tarPlugin.vim
1299.899  000.185  000.185: sourcing /opt/local/share/vim/vim74/plugin/tohtml.vim
1300.202  000.247  000.247: sourcing /opt/local/share/vim/vim74/plugin/vimballPlugin.vim
1300.571  000.299  000.299: sourcing /opt/local/share/vim/vim74/plugin/zipPlugin.vim
1301.272  000.360  000.360: sourcing /Users/israel/.vim/symlinks/snipmate/after/plugin/snipMate.vim
1302.960  000.405  000.405: sourcing /Users/israel/.vim/symlinks/tabular/autoload/tabular.vim
1306.058  004.575  004.170: sourcing /Users/israel/.vim/symlinks/tabular/after/plugin/TabularMaps.vim
1306.067  022.325: loading plugins
1306.074  000.007: inits 3
1306.882  000.808: reading viminfo
1306.917  000.035: setting raw mode
1306.928  000.011: start termcap
1307.002  000.074: clearing screen
1452.753  000.987  000.987: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/_common/inlineComplete.xpt.vim
1456.522  001.255  001.255: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/_common/common.bracketcmpl.xpt.vim
1458.634  000.143  000.143: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/_common/common.path.xpt.vim
1464.086  030.404  028.019: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/_common/common.xpt.vim
1464.491  036.500  006.096: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/markdown/markdown.xpt.vim
1517.398  000.301  000.301: sourcing /Users/israel/.vim/symlinks/snipmate/ftplugin/html_snip_helper.vim
1567.298  000.182  000.182: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/html/eruby.xpt.vim
1567.881  000.173  000.173: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/html/html.ftdetect.vim
1593.738  000.742  000.742: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/html/html.xpt.vim
1594.268  000.184  000.184: sourcing /Users/israel/.vim/symlinks/xptemplate/ftplugin/html/php.xpt.vim
1607.784  000.672  000.672: sourcing /opt/local/share/vim/vim74/ftplugin/html.vim
1609.184  119.813  117.559: sourcing /opt/local/share/vim/vim74/ftplugin/markdown.vim
1771.883  023.981  023.981: sourcing /opt/local/share/vim/vim74/syntax/javascript.vim
1846.013  006.566  006.566: sourcing /opt/local/share/vim/vim74/syntax/vb.vim
1910.495  014.251  014.251: sourcing /opt/local/share/vim/vim74/syntax/css.vim
1913.102  169.852  125.054: sourcing /opt/local/share/vim/vim74/syntax/html.vim
1914.343  234.657  063.805: sourcing /opt/local/share/vim/vim74/syntax/markdown.vim
2027.547  000.352  000.352: sourcing /Users/israel/.vim/bundle/signify/autoload/sy.vim
2028.501  000.574  000.574: sourcing /Users/israel/.vim/bundle/signify/autoload/sy/repo.vim
2028.988  000.136  000.136: sourcing /Users/israel/.vim/bundle/signify/autoload/sy/util.vim
2363.963  666.929: opening buffers
2365.286  000.683  000.683: sourcing /Users/israel/.vim/bundle/ctrlp/autoload/ctrlp/utils.vim
2369.508  004.862: BufEnter autocommands
2369.514  000.006: editing files in windows


times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.010  000.010: --- VIM STARTING ---
000.107  000.097: Allocated generic buffers
000.642  000.535: locale set
000.650  000.008: clipboard setup
000.657  000.007: window checked
001.353  000.696: inits 1
001.523  000.170: parsing arguments
001.529  000.006: expanding arguments
005.354  003.825: shell init
005.809  000.455: Termcap init
005.831  000.022: inits 2
005.999  000.168: init highlight
006.561  000.074  000.074: sourcing /opt/local/share/vim/vim74/ftoff.vim
007.914  001.207  001.207: sourcing /Users/israel/.vim/bundle/pathogen/autoload/pathogen.vim
008.086  000.037  000.037: sourcing /opt/local/share/vim/vim74/ftoff.vim
337.563  004.716  004.716: sourcing /Users/israel/.vim/symlinks/solarized/colors/solarized.vim
361.399  000.052  000.052: sourcing /Users/israel/.vim/bundle/io/ftdetect/io.vim
